@relation noProbing_nonan_noid

@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute Dimensionality numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.REPTree numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric

@data
0.501502,1000000000000,1000000000,1000000,0.101,0.564,564,2,1000,1.541408,0,2,1.349992,1,2,999.79,-1.143504,0,2,0.03152,1,2,998,-1.278349,-0,2,-0.110809,1,0.436,436,1,2,101,1000,0,0,100,1,0.009901,0,0,0.990099,0.009901,-1.225419,-0,-0.027097,1,-1.196612,0,0.00437,1,-1.170094,0,0.033994,1,0,0.456048,0,84.242424,61.616162,0,63.097643,59.259259,59.259259,60.673401,61.144781,59.59596,51.447811,59.057239,85.252525,84.915825,79.191919,79.59596,56.565657,69.76431,84.175084,84.444444,82.693603,80.538721,62.491582
0.632353,53760,13440,1120,0.058394,0.686131,94,4,40,24.309851,58.569343,4,4.151116,20.039592,2.4,26.666667,7.699443,41.883212,2.4,1.054154,13.73112,2,12,-0.78238,8.773723,2,-0.64327,10.541628,0.313869,43,4,2,8,137,0,0,3,5,0.5,0,0,0.375,0.625,-0.78238,8.773723,-0.64327,10.541628,-0.429144,58.306569,-0.345385,10.612141,24.309851,58.569343,4.151116,20.039592,0.894427,14.047538,0.894427,71.578947,64.736842,0,73.157895,68.947368,71.052632,71.052632,70,70.526316,58.947368,68.947368,70,65.263158,57.894737,63.684211,71.052632,69.473684,68.421053,66.315789,73.157895,70,66.842105
0.719828,2998705432800,3407619810,3679935,0.002155,0.501796,2096,3,2429,76.025509,0.828742,3,3.128817,0.490389,2.5,863.714286,11.033153,0.382703,2.5,0.620369,0.174618,2,51,-0.045476,0.139516,2,-0.639873,0.041827,0.498204,2081,1,2,9,4177,0,0,7,2,0.111111,0,0,0.777778,0.222222,-0.023644,0.180594,-0.609198,0.09924,0.084012,0.359367,0.591852,0.120093,0.595124,0.523992,0.719098,0.221963,0.707107,879.204511,0.707107,73.408,72.96,0,78.512,79.552,78.592,76.976,78.352,75.968,72.256,78.368,76.4,77.84,75.84,77.136,50.16,74.896,76.944,79.296,77.616,78.32,72.8
0.482412,81,27,9,0.055,0.515,103,2,3,-1.336958,0.105,2,0.221621,1.00005,2,2.9,-1.552829,-0.011,2,0.020567,0.839202,2,2,-2.000107,-0.115,2,-0.196118,0.777817,0.485,97,1,2,11,200,0,0,10,1,0.090909,0,0,0.909091,0.090909,-1.577168,-0.075,-0.107339,0.81177,-1.532543,-0.02,0.037107,0.826804,-1.463677,0.05875,0.139778,0.842479,0,0.316228,0,81.403509,69.473684,0,84.561404,87.017544,83.508772,83.859649,84.210526,82.45614,85.263158,76.140351,80.701754,81.754386,81.403509,82.45614,50.877193,81.403509,82.105263,85.614035,81.052632,88.421053,80.350877
0.556637,328616640,2738472,22632,0.003267,0.663933,9959,2,184,147.261947,110,2,11.618472,35.252824,2,48.3125,34.887434,19.432526,2,4.780045,6.520232,2,1,-0.072067,0,2,0.308753,0,0.336067,5041,1,2,49,15000,0,0,48,1,0.020408,0,0,0.979592,0.020408,3.346056,0,1.86212,0,16.985813,0.9317,3.918949,3.133465,69.841247,12.012283,7.79862,11.511865,0,50.413252,0,92.808539,65.772737,70.962864,89.268401,98.527907,90.486991,90.509228,88.934845,90.295753,96.531021,92.37714,93.844785,96.92684,76.797865,97.376028,66.399822,66.399822,97.500556,97.985324,97.344897,98.456749,95.877252
0.503504,1000000000000,1000000000,1000000,0.026,0.547,547,2,1000,1.50922,0,2,1.356293,1,2,1000,-0.970848,0,2,0.101459,1,2,1000,-1.26482,0,2,-0.093515,1,0.453,453,1,2,26,1000,0,0,25,1,0.038462,0,0,0.961538,0.038462,-1.198472,0,-0.039367,1,-1.178689,0,0.015434,1,-1.122575,0,0.028711,1,0,0,0,84.377104,62.356902,0,63.636364,77.912458,61.616162,63.569024,62.962963,60.740741,58.989899,66.060606,86.531987,85.521886,73.737374,84.242424,54.882155,67.340067,83.973064,86.329966,84.983165,88.080808,75.084175
0.850107,12168,6084,676,0.008547,0.555556,260,9,52,-1.200886,26.5,9,0,15.024391,5.5,32.5,-1.207657,16.75,5.5,0,9.385026,2,13,-1.214428,7,2,0,3.745661,0.444444,208,1,2,4,468,0,0,2,2,0.25,0,0,0.5,0.5,-1.214428,7,0,3.745661,-1.207657,16.75,0,9.385026,-1.200886,26.5,0,15.024391,4.949747,27.577164,4.949747,77.971014,82.173913,0,75.942029,86.521739,76.666667,76.666667,75.217391,55.942029,87.681159,86.376812,77.246377,87.681159,76.666667,86.956522,55.797101,63.478261,86.231884,86.956522,85.942029,88.405797,85.942029
0.511537,4472333285241648,547677355528,67026968,0.001099,0.596313,4885,2,8188,6.869537,6.508057,2,2.11832,3.102711,2,7146.75,0.696958,1.654425,2,0.469408,1.08274,2,4,-1.378784,-0.008189,2,-0.375708,0.201263,0.403687,3307,1,2,9,8192,0,0,8,1,0.111111,0,0,0.888889,0.111111,-1.22947,-0.003643,-0.01271,0.286596,-1.192689,0.301683,0.008834,0.291287,4.024148,3.074162,1.499765,2.586798,0,2886.149127,0,91.470468,90.501018,0,94.484725,93.898167,94.476578,94.256619,94.199593,92.480652,74.443992,82.0611,92.105906,93.303462,78.248473,91.771894,59.633401,79.771894,92.627291,94.281059,92.651731,94.207739,91.560081
0.565657,100000000,1000000,10000,0.06,0.6,60,2,100,0.94833,0,2,1.020333,1,2,100,-0.616989,0,2,0.249268,1,2,100,-1.08166,0,2,0.03941,1,0.4,40,1,2,6,100,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.067639,0,0.040538,1,-1.013274,0,0.049571,1,0.031804,0,0.557846,1,0,0,0,77.142857,77.857143,0,65.714286,81.428571,73.571429,74.285714,73.571429,67.142857,70.714286,77.857143,76.428571,77.142857,73.571429,76.428571,60.714286,77.142857,76.428571,77.142857,77.142857,81.428571,76.428571
0.496137,81,27,9,0.00027,0.500883,20420,2,3,-1.492703,0.008095,2,0.010295,0.99998,2,2.9,-1.550309,0.002006,2,-0.003821,0.834942,2,2,-1.999836,-0.005617,2,-0.01619,0.814537,0.499117,20348,1,2,11,40768,0,0,10,1,0.090909,0,0,0.909091,0.090909,-1.504742,-0.000202,-0.009931,0.815597,-1.501153,0.002048,-0.003761,0.816823,-1.496638,0.005409,0.000372,0.817795,0,0.316228,0,83.904154,65.444881,0,83.817468,93.099444,83.660451,83.729146,83.927053,83.873078,91.449133,92.608767,93.061825,93.022571,80.296042,92.968597,50.089957,80.296042,93.1158,93.150147,93.097808,92.087013,90.71966
0.985929,1440,720,360,0.001974,0.760365,3081,2,36,77.672842,1972.34847,2,7.968839,9.851025,2,8,17.041562,281.948773,2,2.747987,1.757793,2,2,-1.994734,0.022952,2,-0.170636,0.149768,0.239635,971,1,2,8,4052,0,0,7,1,0.125,0,0,0.875,0.125,-1.52873,0.078233,-0.079064,0.268571,-0.274329,0.225568,1.313699,0.472954,38.64253,0.519743,6.373653,0.644557,0,12.701706,0,99.274526,97.526793,75.482275,98.845837,99.175598,98.911789,98.895301,99.225062,76.092333,98.64798,99.175598,99.274526,99.027205,99.274526,99.093157,76.092333,99.274526,99.142622,99.142622,99.225062,99.208574,99.109646
0.860465,42592,21296,1936,0.090909,0.613636,27,2,44,-0.198678,75,2,0.925433,15.994185,2,33,-0.978614,35.015777,2,0.295536,10.866984,2,11,-1.516084,9.362097,2,-0.038825,4.34995,0.386364,17,1,2,4,44,0,0,3,1,0.25,0,0,0.75,0.25,-1.516084,9.362097,-0.038825,4.34995,-1.22108,20.685233,0,12.256818,-0.198678,75,0.925433,15.994185,0,19.052559,0,69.090909,89.090909,70.909091,89.090909,89.090909,90.909091,87.272727,87.272727,63.636364,92.727273,94.545455,67.272727,78.181818,74.545455,87.272727,63.636364,70.909091,85.454545,87.272727,70.909091,92.727273,90.909091
0.518072,3906250000,15625000,62500,0.024,0.524,131,2,250,-0.639917,0,2,0.066326,1,2,250,-1.052861,0,2,-0.080515,1,2,250,-1.246317,0,2,-0.20579,1,0.476,119,1,2,6,250,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.218063,0,-0.172604,1,-1.178272,0,-0.076187,1,-0.824954,0,0.009411,1,0,0,0,83.055556,69.166667,0,65.555556,85.555556,66.111111,67.5,68.055556,65.555556,82.5,86.388889,80.555556,84.444444,81.944444,87.5,52.777778,74.444444,86.666667,86.944444,84.166667,88.333333,86.666667
0.631579,1759680,135360,9024,0.052083,0.510417,49,2,96,3.190359,189.875,2,0.427836,8.62111,2,54.5,0.273687,60.930062,2,-0.136704,4.741661,2,13,-1.260092,0.161289,2,-1.185029,0.059793,0.489583,47,1,2,5,96,0,0,4,1,0.2,0,0,0.8,0.2,-1.064481,6.60706,-0.915174,0.876176,-0.41776,26.841979,0.105188,5.14287,2.303301,149.341146,0.399874,8.205936,0,46.779625,0,74.615385,73.076923,79.230769,72.307692,66.923077,71.538462,73.076923,76.923077,59.230769,62.307692,63.846154,74.615385,72.307692,75.384615,68.461538,50,74.615385,68.461538,73.076923,70,70,66.153846
0.481928,3906250000,15625000,62500,0.204,0.532,133,2,250,-0.995372,0,2,0.174448,1,2,250,-1.179796,0,2,0.003365,1,2,250,-1.32635,0,2,-0.284289,1,0.468,117,1,2,51,250,0,0,50,1,0.019608,0,0,0.980392,0.019608,-1.244059,0,-0.055988,1,-1.184277,0,0.013217,1,-1.117093,0,0.074255,1,0,0,0,69.444444,74.722222,0,71.388889,74.166667,75,75.833333,81.944444,65.555556,60.277778,62.222222,68.333333,70.555556,59.722222,76.944444,52.777778,67.777778,71.944444,81.944444,71.666667,75.833333,62.222222
0.8125,1069500,46500,1860,0.033493,0.732057,153,2,60,22.468899,11796.15311,2,4.027333,11726.564377,2,29.333333,13.202313,2486.021531,2,3.108127,2656.502062,2,15,5.902471,4.698565,2,2.140663,6.816274,0.267943,56,1,2,7,209,0,0,6,1,0.142857,0,0,0.857143,0.142857,6.772693,14.875598,2.44328,21.202057,13.083233,114.514354,3.170355,150.445824,18.827181,5100.023923,3.703762,5840.698163,0,15.882905,0,95.254237,93.898305,76.949153,93.220339,93.220339,93.898305,91.525424,91.864407,45.084746,92.881356,91.186441,91.525424,93.220339,87.79661,93.559322,74.576271,91.186441,92.881356,93.220339,90.508475,94.915254,93.559322
0.785657,11548129138,63451259,328763,0.002982,0.576145,7922,2,1411,6874.5,0.629409,2,2.366188,260.214455,2,89.2,916.86363,-0.850401,2,-4.557908,7.591279,2,3,-0.616275,-12.599564,2,-75.973828,0.000012,0.423855,5828,1,2,41,13750,0,0,40,1,0.02439,0,0,0.97561,0.02439,6.761819,-0.000095,-2.179168,0.000573,6.991264,0.002968,0.121682,0.006918,16.105419,0.021971,2.347704,0.092173,0,221.164192,0,74.376516,71.499272,0,88.010674,87.496361,87.981562,88.321203,88.282387,55.283843,83.260553,79.757399,84.84231,87.355653,78.709364,84.827754,57.617661,75.453663,86.152353,88.418244,86.773411,87.612809,80.203785
0.569894,2000682159778610,486192505414,63488183,0.001587,0.697632,5715,2,7997,313.749259,1328125.959839,2,13.897852,422019.426957,2,2804,77.069303,135460.433724,2,5.074305,67245.748377,2,189,0.903141,1.884554,2,-0.791664,2.479493,0.302368,2477,1,2,13,8192,0,0,12,1,0.076923,0,0,0.923077,0.076923,3.02857,14.719574,1.918088,35.757244,20.497553,180.269104,3.958631,179.729563,152.744884,72500.297546,8.569249,106188.172838,0,3298.061662,0,87.266802,88.676171,77.572301,91.356415,91.535642,91.169043,90.761711,91.331976,78.020367,89.507128,79.307536,89.670061,90.753564,83.608961,90.509165,69.775967,83.657841,89.572301,91.446029,90.248473,92.456212,88.537678
0.536364,478764,239382,6138,0.036036,0.522523,58,2,93,1.31654,184.801802,2,1.265266,91.152302,2,66,-0.080985,101.564565,2,0.181381,44.652747,2,39,-0.916416,42.099099,2,-0.492933,9.529969,0.477477,53,1,2,4,111,0,0,3,1,0.25,0,0,0.75,0.25,-0.916416,42.099099,-0.492933,9.529969,-0.643078,77.792793,-0.228191,33.275969,1.31654,184.801802,1.265266,91.152302,0,27,0,68,69.333333,67.333333,70.666667,67.333333,71.333333,70,68.666667,64.666667,66.666667,63.333333,72,66,67.333333,72,53.333333,72,72,68.666667,67.333333,64.666667,62.666667
0.887637,89489077315521,29819752521,9628593,0.002253,0.504023,1566,2,3107,8.425855,11.885161,2,0.587908,11475690.49229,2,3008.333333,1.95907,-15273134.720529,2,0.033471,1912616.011723,2,2832,0.280876,-91638847.147731,2,-1.020247,0.198056,0.495977,1541,1,2,7,3107,0,0,6,1,0.142857,0,0,0.857143,0.142857,0.579489,-22909712.219108,-0.800812,1.003738,0.750523,8.879527,0.400537,1.348166,2.757176,10.288724,0.566794,2868923.681592,0,114.772238,0,71.689989,72.744887,0,83.466093,85.209903,82.346609,78.751346,83.229279,50.376749,79.138859,55.715823,75.823466,79.827772,69.34338,80.365985,50.376749,71.948332,78.923574,84.82239,79.181916,83.552207,77.287406
0.5,264960,52992,8832,0.061538,0.620513,121,184,48,0.278042,60.435897,184,-0.026709,11.216692,19.727273,48,0.278042,60.435897,19.727273,-0.026709,11.216692,2,48,0.278042,60.435897,2,-0.026709,11.216692,0.379487,74,4,2,12,195,2,2,1,11,0.333333,0.010256,0.000855,0.083333,0.916667,0.278042,60.435897,-0.026709,11.216692,0.278042,60.435897,-0.026709,11.216692,0.278042,60.435897,-0.026709,11.216692,54.499708,0,54.499708,81.785714,82.857143,0,73.928571,80.357143,78.214286,82.857143,83.571429,62.5,70.357143,72.142857,82.5,81.428571,62.142857,82.857143,62.5,84.285714,84.285714,83.571429,62.5,81.071429,66.785714
0.491803,8152620,173460,3540,0.129032,0.532258,33,2,60,45.74102,283.134194,2,6.563608,930.278942,2,32.857143,11.000005,93.151205,2,2.374167,285.567244,2,5,-1.329125,2.419355,2,0.229519,1.441252,0.467742,29,1,2,8,62,7,8,7,1,0.125,0.112903,0.016129,0.875,0.125,-1.224857,2.612903,0.377656,1.476414,2.852448,19.877586,1.683501,18.206255,26.270581,198.789984,5.071589,899.158011,0,26.485396,0,69.333333,68,0,65.333333,65.333333,66.666667,64,65.333333,46.666667,70.666667,56,68,68,62.666667,64,53.333333,70.666667,66.666667,64,60,60,50.666667
0.508509,1000000000000,1000000000,1000000,0.011,0.56,560,2,1000,1.925857,0,2,1.416881,1,2,999.9,-0.70277,0,2,0.228998,1,2,999,-1.25689,0,2,-0.041553,1,0.44,440,1,2,11,1000,0,0,10,1,0.090909,0,0,0.909091,0.090909,-1.197729,0,-0.006833,1,-1.1785,0,0.021923,1,-0.512467,0,0.246256,1,0,0.316228,0,80.671141,67.04698,0,67.785235,92.080537,66.979866,67.114094,67.315436,65.838926,72.416107,75.369128,84.563758,85.369128,73.959732,83.422819,56.040268,68.255034,87.04698,90.671141,85.637584,90.201342,82.95302
0.98436,0,616,308,0.00293,0.50293,515,4,77,-0.123562,134.129883,4,0.725942,15.13884,3,77,-0.123562,134.129883,3,0.725942,15.13884,2,77,-0.123562,134.129883,2,0.725942,15.13884,0.49707,509,1,2,3,1024,0,0,1,2,0.333333,0,0,0.333333,0.666667,-0.123562,134.129883,0.725942,15.13884,-0.123562,134.129883,0.725942,15.13884,-0.123562,134.129883,0.725942,15.13884,1.414214,0,1.414214,70.065789,69.342105,0,69.539474,72.960526,68.684211,68.552632,69.736842,50.328947,69.210526,73.421053,72.302632,71.973684,70.789474,72.171053,50.328947,71.184211,73.355263,73.486842,72.236842,69.736842,69.342105
0.507014,62500000000,125000000,250000,0.202,0.566,283,2,500,1.685141,0,2,1.272782,1,2,499.92,-1.126592,0,2,0.035363,1,2,499,-1.333001,-0,2,-0.144236,1,0.434,217,1,2,101,500,0,0,100,1,0.009901,0,0,0.990099,0.009901,-1.233324,-0,-0.033564,1,-1.189154,0,0.010672,1,-1.159525,0,0.062995,1,0,0.27266,0,84.489796,65.170068,0,62.585034,59.591837,61.360544,62.312925,66.802721,59.455782,51.70068,52.380952,84.897959,84.897959,77.55102,78.367347,56.462585,76.054422,83.401361,83.401361,80.408163,80.816327,60
0.512513,1000000000000,1000000000,1000000,0.006,0.543,543,2,1000,-0.714025,0,2,0.052114,1,2,1000,-1.092704,0,2,0.001946,1,2,1000,-1.202317,0,2,-0.023447,1,0.457,457,1,2,6,1000,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.201146,0,-0.020138,1,-1.188325,0,-0.006917,1,-0.936452,0,0.028462,1,0,0,0,82.693603,64.175084,0,60.538721,84.107744,61.683502,61.144781,59.86532,61.414141,85.521886,88.754209,81.414141,86.801347,72.390572,84.377104,54.208754,70.37037,87.272727,87.744108,85.252525,90.909091,87.407407
0.578313,3906250000,15625000,62500,0.024,0.564,141,2,250,1.625732,0,2,1.307966,1,2,250,-0.230528,0,2,0.419812,1,2,250,-1.210252,0,2,0.007256,1,0.436,109,1,2,6,250,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.092682,0,0.01115,1,-0.885938,0,0.015651,1,0.959331,0,1.030556,1,0,0,0,81.666667,74.444444,0,68.055556,92.777778,68.888889,68.333333,66.666667,69.166667,85.277778,88.888889,82.5,84.444444,76.388889,83.333333,56.944444,78.055556,84.166667,87.222222,76.944444,90.277778,83.888889
0.873418,18643968,388416,7616,0.100629,0.660377,105,6,136,5.72579,5113.836478,6,2.710242,481.941321,4,42.928571,1.059972,598.332579,4,0.665428,77.317293,2,20,-0.823175,3.236352,2,-0.992743,0.267336,0.339623,54,1,2,16,159,0,0,14,2,0.0625,0,0,0.875,0.125,0.063137,22.431792,0.15438,2.188542,0.629977,80.722013,0.75785,6.278166,1.494902,133.952516,0.916708,31.951758,2.828427,28.650317,2.828427,97.333333,94.666667,0,94.666667,98.666667,97.777778,95.111111,97.777778,72.888889,92.444444,96.444444,95.555556,95.111111,92,96,66.666667,94.222222,96.444444,97.777778,93.777778,98.222222,96.888889
0.514056,3906250000,15625000,62500,0.104,0.572,143,2,250,-0.79503,0,2,0.198255,1,2,250,-1.197221,0,2,0.022862,1,2,250,-1.343702,0,2,-0.221787,1,0.428,107,1,2,26,250,0,0,25,1,0.038462,0,0,0.961538,0.038462,-1.259352,0,-0.039563,1,-1.230945,0,0.025855,1,-1.15979,0,0.095993,1,0,0,0,81.111111,64.166667,0,60.555556,55,57.777778,58.888889,59.166667,61.944444,51.111111,57.777778,81.666667,85.555556,69.722222,81.666667,56.944444,68.611111,84.444444,82.777778,86.111111,86.666667,71.666667
0.993827,1651952,825976,17956,0.03681,0.711656,116,2,134,11.014722,227.380368,2,2.979202,208.602499,2,104.666667,3.695593,82.049931,2,1.172076,78.130447,2,46,-0.537133,4.867583,2,-0.527554,1.207605,0.288344,47,3,2,6,163,0,0,3,3,0.5,0,0,0.5,0.5,-0.537133,4.867583,-0.527554,1.207605,0.60919,13.90184,1.06458,24.581237,11.014722,227.380368,2.979202,208.602499,0,50.806824,0,66.521739,73.478261,0,74.347826,74.782609,71.73913,70,72.608696,73.043478,70.869565,73.478261,71.73913,73.043478,68.695652,73.478261,71.73913,67.826087,69.130435,71.304348,72.608696,73.913043,69.565217
0.503006,62500000000,125000000,250000,0.012,0.526,263,2,500,1.748098,0,2,1.366958,1,2,500,-0.255912,0,2,0.421304,1,2,500,-1.217562,0,2,-0.022743,1,0.474,237,1,2,6,500,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.20999,0,-0.014436,1,-0.66622,0,0.037653,1,0.90332,0,1.048869,1,0,0,0,82.857143,65.170068,0,65.714286,92.789116,66.530612,64.489796,65.306122,65.578231,87.210884,85.85034,82.721088,85.306122,74.14966,83.401361,52.380952,71.156463,84.217687,89.251701,84.761905,89.387755,83.673469
0.517034,4117280544,35190432,161424,0.016,0.508,254,2,456,4.622818,141.091,2,0.823899,85.510774,2,187.142857,0.498999,23.99629,2,-0.045623,14.797873,2,24,-1.167315,0.1548,2,-0.913561,0.886808,0.492,246,1,2,8,500,0,0,7,1,0.125,0,0,0.875,0.125,-1.002653,0.787,-0.307187,0.988631,0.27107,3.270929,-0.071157,1.860612,0.593784,12.446,0.461476,6.857487,0,163.283423,0,51.020408,54.829932,0,48.435374,54.693878,49.795918,51.156463,48.707483,50.47619,57.278912,58.367347,51.020408,56.462585,56.326531,53.469388,51.020408,51.020408,52.380952,53.741497,54.965986,59.319728,54.693878
0.508509,1000000000000,1000000000,1000000,0.011,0.56,560,2,1000,1.905302,0,2,1.413,1,2,999.8,-0.585946,0,2,0.306202,1,2,999,-1.252233,0,2,-0.04554,1,0.44,440,1,2,11,1000,0,0,10,1,0.090909,0,0,0.909091,0.090909,-1.246986,0,0.006364,1,-1.210656,0,0.033522,1,0.174027,0,0.76531,1,0,0.421637,0,81.677852,63.758389,0,63.221477,90,62.013423,62.818792,61.543624,61.744966,73.288591,73.422819,83.758389,84.161074,76.845638,82.214765,56.040268,70.805369,85.90604,87.38255,84.42953,89.798658,82.147651
0.497131,4503599627370496,549755813888,67108864,0.004028,0.503906,4128,2,8192,-1.156638,1.385738,2,0.025773,43.747302,2,8182.53125,-1.196849,0.660609,2,-0.002687,7.586924,2,8173,-1.226636,-0.53032,2,-0.03207,0.645188,0.496094,4064,1,2,33,8192,0,0,32,1,0.030303,0,0,0.969697,0.030303,-1.205847,0.001142,-0.010296,0.651066,-1.196471,0.290695,-0.004819,1.3469,-1.187931,1.377247,0.004579,1.3621,0,6.06409,0,65.784114,64.659878,0,65.04277,82.240326,64.219959,65.588595,65.596741,65.474542,55.780041,57.124236,65.784114,87.820774,60.391039,86.08554,50.386965,65.784114,85.368635,87.543788,87.250509,88.065173,74.346232
0.626943,1373147136,7151808,37249,0.170103,0.536082,104,2,193,26.298915,1401.756701,2,3.901575,587.040705,2,175.40625,2.833454,87.548436,2,1.13939,33.35989,2,22,-0.256932,0.004004,2,-0.130108,0.00195,0.463918,90,1,2,33,194,0,0,32,1,0.030303,0,0,0.969697,0.030303,0.462256,0.0878,0.613323,0.021075,1.739979,0.343409,1.066936,0.119798,3.812148,20.093814,1.627528,4.312889,0,38.59455,0,51.428571,55.714286,54.285714,52.857143,51.071429,60.357143,60.714286,57.857143,53.928571,54.642857,50.357143,51.428571,55.357143,50.714286,52.857143,53.571429,55,50.714286,57.857143,56.428571,54.285714,49.285714
0.565657,100000000,1000000,10000,0.06,0.54,54,2,100,-0.907896,0,2,0.354942,1,2,100,-1.06634,0,2,0.015741,1,2,100,-1.328293,0,2,-0.133308,1,0.46,46,1,2,6,100,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.23307,0,-0.131242,1,-0.990875,0,-0.053925,1,-0.937343,0,0.197557,1,0,0,0,74.814815,88.888889,0,80.740741,81.481481,80.740741,80,80.740741,81.481481,87.407407,84.444444,68.148148,74.814815,61.481481,71.851852,55.555556,68.888889,69.62963,80.740741,66.666667,81.481481,76.296296
0.57377,1541050,45325,1295,0.096774,0.5,31,2,37,0.512319,115.629032,2,0.239094,15.970988,2,31,0.10955,88.093548,2,-0.111365,11.714103,2,14,-0.370754,12.322581,2,-0.513638,2.907166,0.5,31,1,2,6,62,0,0,5,1,0.166667,0,0,0.833333,0.166667,-0.219022,49.112903,-0.44255,7.958615,0.215805,112.129032,-0.00575,13.032411,0.384994,115.056452,0.167013,14.810437,0,9.565563,0,76.25,63.75,61.25,76.25,71.25,68.75,68.75,76.25,57.5,67.5,62.5,73.75,72.5,63.75,72.5,50,75,72.5,76.25,78.75,71.25,75
0.873418,18643968,388416,7616,0.100629,0.660377,105,2,136,5.72579,5113.836478,2,2.710242,481.941321,2,40.466667,0.954092,558.492797,2,0.627396,72.242346,2,6,-0.823175,0.735849,2,-0.992743,0.267336,0.339623,54,1,2,16,159,0,0,15,1,0.0625,0,0,0.9375,0.0625,-0.207685,10.161132,0.148252,1.947883,0.62317,65.607547,0.733666,6.097142,1.149276,121.132075,0.916663,30.718583,0,29.208283,0,96.888889,94.666667,0,93.333333,97.777778,98.222222,96,96.444444,72.888889,96,96.444444,95.555556,95.111111,92,96,66.666667,94.222222,96.444444,96.444444,93.777778,98.222222,97.333333
