DataId; RankerBuildTimes; KendallRankCorrelation; Loss; RankerPredictTimes; BestThreeLoss;ID
333;217;0.151515152;0;0;0;79
334;200;0.03030303;0;0;0;80
335;197;0.359307359;1.104295;0;0;81
336;200;0.090909091;3.116883;0;3.116883;82
337;200;0.168831169;0;0;0;83
338;200;0.272727273;9.5;0;0;84
339;196;0.038961039;13.333334;0;13.333334;85
340;201;0.116883117;10.909091;0;9.09091;86
342;201;-0.116883117;15.384615;0;4.615385;87
343;200;0.324675325;0;0;0;88
346;198;0.073593074;11.666667;0;11.666667;89
374;201;-0.047619048;75;0;75;90
376;216;0.151515152;82.352941;0;82.352941;91
377;200;0.03030303;1.264367;0;0;92
379;199;-0.142857143;55.555556;0;55.555556;93
380;201;0.186147186;71.428571;0;71.428571;94
1412;200;0.186147186;2.769231;0;2.153846;95
1413;201;0.212121212;1.904762;0;0;96
1441;208;-0.125541126;18.235294;0;0;97
1442;211;0.16017316;1.095891;0;1.095891;98
1443;216;0.021645022;0;0;0;99
1446;200;0.134199134;0.930233;0;0.465116;100
1447;198;0.0995671;5.473685;0;1.263158;101
1448;216;-0.134199134;3.272728;0;3.272728;102
1449;201;0.116883117;4.931507;0;0.821918;103
1450;200;0.445887446;4;0;0;104
1451;194;0.220779221;0.191388;0;0.191388;105
1452;201;-0.004329004;17.727273;0;0;106
1455;201;0.151515152;0;0;0;107
1463;200;0.073593074;4.444444;0;3.703704;108
1464;204;0.186147186;0;0;0;109
1465;203;0.246753247;0;0;0;110
443;201;0.056277056;0;0;0;111
1467;216;-0.142857143;0.503144;0;0.503144;112
444;199;-0.047619048;0;0;0;113
446;208;-0.125541126;6.206897;0;0;114
1470;201;0.194805195;6.081082;0;2.432433;115
448;201;0.194805195;0.606061;0;0;116
1472;199;-0.056277056;8.31579;0;7.894737;117
449;200;0.116883117;8.474747;0;8.474747;118
1473;201;0.038961039;0;0;0;119
450;219;0.177489177;0;0;0;120
451;190;0.021645022;1.22449;0;1.22449;121
452;201;-0.056277056;27.894737;0;0;122
453;201;0.064935065;5;0;0;123
455;201;-0.012987013;12.991453;0;0;124
1480;197;-0.012987013;0.581395;0;0.465116;125
457;201;0.142857143;0;0;0;126
458;216;-0.038961039;0;0;0;127
1482;232;-0.038961039;4.067797;0;4.067797;128
459;237;0.056277056;4.545455;0;4.545455;129
460;216;0.03030303;6.309021;0;1.372222;130
461;217;0.246753247;0;0;0;131
462;216;0.134199134;16;0;0;132
