DataId; RankerBuildTimes; KendallRankCorrelation; Loss; RootMeanSquareError; RankerPredictTimes; BestThreeLoss;ID
997;6152;0.272727273;8.756756;12.75949177;0;0;430
998;6226;0.307359307;10;6.070797477;3;10;431
999;6190;0.402597403;1.846154;3.733502175;0;1.846154;432
1001;6114;0.064935065;0.952381;7.000313158;3;0;433
1003;6153;0.437229437;1.212121;3.574980027;4;1.212121;434
1004;6754;0.497835498;0;9.801088654;0;0;435
1005;6064;0.722943723;0;4.946147008;3;0;436
1006;6169;0.385281385;2.857143;3.922526165;3;2.857143;437
1007;6194;0.593073593;6.206897;6.209659862;2;3.448276;438
1008;6075;0.229437229;1.636364;2.84614842;0;1.090909;439
1009;6133;0.428571429;0;8.461812909;2;0;440
1010;6161;0.393939394;0;3.51494168;2;0;441
1011;6107;0.515151515;1.443298;4.010283198;0;0;442
1012;6148;0.367965368;2.909091;5.860895385;3;2.909091;443
1013;6245;0.073593074;0;8.750083714;3;0;444
1014;6173;0.125541126;0;3.35284462;3;0;445
1015;6209;0.307359307;0;7.784226574;3;0;446
1016;6237;0.54978355;0.610169;7.217748734;2;0.474576;447
1023;6187;0.575757576;0.495049;4.667282828;3;0.495049;448
