DataId; RankerBuildTimes; KendallRankCorrelation; Loss; RankerPredictTimes; BestThreeLoss
864;58471;-0.03030303;69.333333;1;0
865;56474;0.064935065;7.407407;1;0
866;56745;0.134199134;0.942761;1;0.942761
867;58168;-0.004329004;2.222222;1;2.222222
868;54705;0.116883117;0;1;0
869;57176;0.116883117;0;1;0
870;57046;0.186147186;0;1;0
872;55893;0.168831169;2.013423;1;0.805369
873;56099;0.238095238;11.111111;1;6.944444
874;57675;-0.03030303;8.333333;1;0
875;55893;0.333333333;2.962963;1;1.481481
876;55584;0.16017316;23.703703;1;14.814815
877;57000;0.463203463;16.111111;1;0
878;56179;0.316017316;9.629629;1;7.407407
879;56156;0.376623377;1.632653;1;1.632653
880;55652;0.064935065;0.487805;1;0.487805
882;54837;0.229437229;0;1;0
884;56668;0.116883117;0;1;0
885;54520;0.168831169;2.222222;1;0
886;59928;0.151515152;7.891157;1;7.891157
887;58115;0.073593074;1.333334;1;0
888;55380;-0.047619048;5.986395;1;4.353742
889;55343;0.142857143;6.428571;1;5.714286
890;55633;0.333333333;26.206896;1;8.965517
891;56827;0.134199134;4;1;0
892;56638;0.03030303;0;1;0
893;55339;-0.021645022;6.315789;1;6.315789
894;56809;-0.316017316;1.25;2;1.25
895;56327;-0.116883117;24.6875;1;0.3125
896;57617;0.238095238;15.945945;1;3.108108
898;56183;-0.064935065;6.153846;1;6.153846
899;56956;-0.0995671;90;1;0
900;55351;0.151515152;0;1;0
902;56973;0.047619048;4.878049;1;4.878049
903;56277;0.203463203;2.020202;1;2.020202
904;55644;-0.03030303;19.597316;1;3.892618
905;55178;-0.16017316;86.666667;1;0
906;55663;0.0995671;2.222222;1;2.051282
907;57566;-0.047619048;2.393163;1;0.854701
908;56345;-0.012987013;0;1;0
909;56569;0.116883117;1.196581;1;1.196581
910;56749;0.194805195;1.481481;1;1.481481
911;57116;0.116883117;19.726027;1;1.643835
912;56423;0.0995671;22.693602;1;6.329966
913;55962;0.047619048;16.912751;1;4.7651
915;55674;0.168831169;6.813186;1;1.758241
916;55864;0.064935065;9.629629;1;9.629629
917;56134;0.203463203;4.242424;1;4.242424
