DataId; RankerBuildTimes; KendallRankCorrelation; Loss; BestThreeLoss;ID
462;84;0.393939394;12;12;132
463;85;-0.004329004;1.960784;1.960784;133
464;100;0.29004329;1.111112;1.111112;134
1488;84;0.324675325;10;9.285715;135
465;99;0.333333333;1.538462;1.538462;136
466;84;0.194805195;26.868686;14.343434;137
1490;84;0.16017316;0;0;138
467;80;0.29004329;6.153846;6.153846;139
468;85;0.116883117;10;5;140
469;101;0.073593074;3.043478;2.695652;141
470;85;0.281385281;1.005025;1.005025;142
1495;138;0.194805195;0.555556;0.555556;143
472;121;0.402597403;1.739131;0;144
474;120;-0.350649351;7.060765;7.060765;145
1498;84;0.376623377;0;0;146
475;101;0.29004329;13.103449;8.965518;147
1499;84;0.670995671;0;0;148
476;85;0.428571429;6.666667;5;149
1500;98;0.670995671;0;0;150
477;69;0.515151515;5.333333;0;151
479;84;0.186147186;0.833334;0;152
480;78;0.558441558;10;0;153
481;100;0.359307359;0.333333;0.333333;154
1506;84;0.0995671;0.86331;0.719425;155
1508;98;0.445887446;0.353982;0.176991;156
1510;83;0.090909091;0.595238;0.238095;157
1511;84;0.238095238;1.24031;0;158
1512;85;0.367965368;0;0;159
1513;84;0.212121212;8.387097;0;160
1516;84;0.437229437;28.571428;12.380952;161
1517;85;0.367965368;17.777778;6.666667;162
1518;73;0.454545455;20;14;163
1519;116;0.229437229;12.903226;10.322581;164
1520;85;0.445887446;0;0;165
1523;85;0.523809524;0.444445;0.444445;166
1524;78;0.445887446;0.879121;0.659341;167
1547;85;0.021645022;13.265993;7.811448;168
1549;80;0.281385281;4.150943;0.283019;169
1551;101;0.238095238;9.814815;5.925926;170
1553;84;0.454545455;0;0;171
1554;85;0.489177489;2.816902;2.816902;172
1555;84;0.411255411;1.453287;1.453287;173
1556;82;0.497835498;0;0;174
1559;75;0.220779221;0;0;175
1565;77;0.506493506;0.246914;0;176
40496;78;0.307359307;3.529411;0;177
40509;85;0.445887446;0.882353;0;178
1600;100;0.341991342;0;0;179
682;94;0.229437229;8.695652;3.478261;180
683;66;0.428571429;3.75;3.75;181
685;84;-0.125541126;28;14.666666;182
694;84;0.298701299;1.234568;0;183
713;101;-0.0995671;7.692308;4.615385;184
714;85;0.090909091;6.470588;1.764706;185
715;100;0.887445887;0;0;186
716;76;0.567099567;8.888889;0;187
717;100;0.246753247;0;0;188
719;85;-0.004329004;3.157895;3.157895;189
721;96;0.385281385;1.403509;1.403509;190
723;85;0.861471861;1.750842;0;191
724;98;0.142857143;11.73913;10.434783;192
40660;84;0.021645022;0;0;193
726;101;0.558441558;0;0;194
40663;80;0.324675325;0.714286;0.714286;195
729;100;0.367965368;5.454546;1.818182;196
730;115;0.662337662;0;0;197
731;106;0.359307359;4.615384;2.307692;198
732;100;0.367965368;6.111111;0;199
733;82;0.41991342;2.033898;0;200
40669;100;-0.255411255;9.565217;9.565217;201
40671;85;0.714285714;0;0;202
736;100;0.255411255;7.333333;0.666667;203
