@relation 'metaData_small_allPerformanceValues-weka.filters.unsupervised.attribute.Remove-R1-48,94-104'

@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric
@attribute weka.classifiers.trees.REPTree numeric

@data
0.975222,0.042918,0.904445,0.988308,0.040057,0.912545,0.924908,0.088698,0.810753,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.95278,0.055794,0.875655,0.95169,0.044349,0.901745,0.92696,0.055794,0.876874,0.95278,0.055794,0.875655,0.95169,0.044349,0.901745,0.92696,0.055794,0.876874,0.95278,0.055794,0.875655,0.95169,0.044349,0.901745,97.198068,96.328502,0,96.521739,95.845411,96.908213,96.811594,96.618357,89.371981,96.038647,95.555556,95.555556,95.169082,91.690821,95.072464,65.700483,91.690821,94.299517,96.618357,96.521739,94.202899,93.429952
0.656478,0.055172,0.400207,0.734319,0.103448,0.297254,0.776916,0.082759,0.357459,0.772354,0.062069,0.156432,0.772354,0.062069,0.156432,0.772354,0.062069,0.156432,0.687044,0.075862,0.312796,0.498175,0.055172,0,0.724453,0.075862,0.381543,0.687044,0.075862,0.312796,0.498175,0.055172,0,0.724453,0.075862,0.381543,0.687044,0.075862,0.312796,0.498175,0.055172,0,0.724453,0.075862,0.381543,87.804878,91.219512,92.195122,92.195122,94.634146,96.097561,96.585366,95.609756,92.682927,97.560976,84.878049,93.170732,95.121951,95.121951,92.682927,97.560976,91.707317,93.658537,95.609756,96.585366,88.292683,96.585366
0.808324,0.186957,0.619651,0.905962,0.155072,0.68183,0.85897,0.144928,0.711618,0.851001,0.156522,0.685551,0.851001,0.156522,0.685551,0.851001,0.156522,0.685551,0.835552,0.157971,0.681925,0.851664,0.15942,0.679933,0.750712,0.249275,0.494346,0.835552,0.157971,0.681925,0.851664,0.15942,0.679933,0.750712,0.249275,0.494346,0.835552,0.157971,0.681925,0.851664,0.15942,0.679933,0.750712,0.249275,0.494346,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0.60352,0.390244,0.213429,0.638821,0.430894,0.188203,0.603194,0.420054,0.183966,0.638102,0.384824,0.239286,0.638102,0.384824,0.239286,0.638102,0.384824,0.239286,0.616548,0.376694,0.233215,0.645811,0.371274,0.245128,0.564795,0.425474,0.130879,0.616548,0.376694,0.233215,0.645811,0.371274,0.245128,0.564795,0.425474,0.130879,0.616548,0.376694,0.233215,0.645811,0.371274,0.245128,0.564795,0.425474,0.130879,58.703704,53.518519,55,63.148148,59.62963,63.888889,62.222222,62.222222,53.888889,64.444444,64.444444,60.37037,60,57.962963,61.851852,55.555556,56.481481,64.074074,61.481481,68.333333,62.037037,63.888889
0.79304,0.19837,0.574937,0.868408,0.19837,0.578776,0.803436,0.184783,0.612871,0.801788,0.184783,0.612871,0.801788,0.184783,0.612871,0.801788,0.184783,0.612871,0.83738,0.160326,0.65223,0.5,0.369565,0,0.798886,0.206522,0.545738,0.83738,0.160326,0.65223,0.5,0.369565,0,0.798886,0.206522,0.545738,0.83738,0.160326,0.65223,0.5,0.369565,0,0.798886,0.206522,0.545738,80.560748,77.757009,0,85.046729,83.925234,81.495327,81.869159,84.859813,64.859813,80,70.280374,77.009346,84.11215,42.429907,83.925234,63.551402,79.439252,82.616822,85.981308,87.850467,74.579439,64.299065
0.778287,0.206522,0.549949,0.843338,0.220109,0.538176,0.803436,0.184783,0.612871,0.801946,0.179348,0.620879,0.801946,0.179348,0.620879,0.801946,0.179348,0.620879,0.84375,0.144022,0.680723,0.841373,0.168478,0.637335,0.812969,0.247283,0.474912,0.84375,0.144022,0.680723,0.841373,0.168478,0.637335,0.812969,0.247283,0.474912,0.84375,0.144022,0.680723,0.841373,0.168478,0.637335,0.812969,0.247283,0.474912,78.317757,75.88785,0,77.757009,79.439252,78.691589,81.308411,81.121495,61.308411,78.317757,72.523364,82.616822,81.869159,79.439252,83.551402,63.551402,79.439252,83.925234,81.869159,84.299065,76.635514,82.616822
0.818419,0.178261,0.638282,0.894012,0.215942,0.549265,0.859038,0.144928,0.711618,0.877612,0.143478,0.710175,0.877612,0.143478,0.710175,0.877612,0.143478,0.710175,0.892857,0.16087,0.673994,0.885777,0.144928,0.710515,0.767221,0.249275,0.49105,0.892857,0.16087,0.673994,0.885777,0.144928,0.710515,0.767221,0.249275,0.49105,0.892857,0.16087,0.673994,0.885777,0.144928,0.710515,0.767221,0.249275,0.49105,86.960784,76.568627,0,84.215686,81.666667,84.705882,84.901961,84.411765,63.137255,79.509804,78.72549,84.117647,85.196078,85.686275,83.137255,55.392157,85.686275,85.490196,84.607843,85.196078,76.078431,85.196078
0.635145,0.285714,0.281668,0.691221,0.267081,0.309426,0.582745,0.329193,0.051784,0.51879,0.329193,0.039617,0.51879,0.329193,0.039617,0.51879,0.329193,0.039617,0.576394,0.31677,0.180948,0.504234,0.304348,0.076554,0.567131,0.347826,0.14443,0.576394,0.31677,0.180948,0.504234,0.304348,0.076554,0.567131,0.347826,0.14443,0.576394,0.31677,0.180948,0.504234,0.304348,0.076554,0.567131,0.347826,0.14443,65.777778,69.777778,70.666667,69.777778,62.666667,67.555556,70.222222,68.444444,31.111111,69.777778,60.444444,66.222222,66.666667,68.888889,68,68.888889,69.777778,62.666667,68.444444,71.111111,66.222222,70.666667
0.649048,0.286,0.304475,0.786048,0.248,0.37247,0.664762,0.3,0,0.720829,0.273,0.305697,0.720829,0.273,0.305697,0.720829,0.273,0.305697,0.661748,0.279,0.244312,0.700293,0.269,0.222543,0.658024,0.298,0.278101,0.661748,0.279,0.244312,0.700293,0.269,0.222543,0.658024,0.298,0.278101,0.661748,0.279,0.244312,0.700293,0.269,0.222543,0.658024,0.298,0.278101,74.765101,74.42953,0,74.966443,71.744966,74.42953,75.436242,74.697987,70.134228,70.469799,68.926174,72.013423,71.812081,67.181208,71.342282,70.134228,70.134228,72.214765,74.697987,75.503356,66.711409,71.610738
0.35942,0.269663,0.059031,0.374275,0.539326,-0.239698,0.428986,0.224719,0,0.496377,0.224719,0,0.496377,0.224719,0,0.496377,0.224719,0,0.446014,0.258427,-0.010864,0.496377,0.224719,0,0.513406,0.269663,0.13382,0.446014,0.258427,-0.010864,0.496377,0.224719,0,0.513406,0.269663,0.13382,0.446014,0.258427,-0.010864,0.496377,0.224719,0,0.513406,0.269663,0.13382,79.166667,71.666667,0,77.5,75,72.5,77.5,78.333333,77.5,77.5,72.5,79.166667,78.333333,78.333333,74.166667,79.166667,78.333333,79.166667,75,75.833333,75,79.166667
0.408812,0.355556,-0.066667,0.399359,0.366667,-0.133588,0.468428,0.3,-0.021008,0.5,0.288889,0,0.5,0.288889,0,0.5,0.288889,0,0.5,0.288889,0,0.5,0.288889,0,0.461852,0.455556,-0.103469,0.5,0.288889,0,0.5,0.288889,0,0.461852,0.455556,-0.103469,0.5,0.288889,0,0.5,0.288889,0,0.461852,0.455556,-0.103469,67.2,68,0,59.2,54.4,0,71.2,72,0,66.4,66.4,64.8,72,70.4,61.6,72,71.2,72,72,63.2,59.2,68.8
0.534853,0.12963,0.077329,0.932054,0.062963,0.442013,0.741375,0.085185,0,0.812159,0.087037,0.329139,0.812159,0.087037,0.329139,0.812159,0.087037,0.329139,0.799837,0.074074,0.472759,0.817924,0.075926,0.233167,0.659479,0.1,0.332051,0.799837,0.074074,0.472759,0.817924,0.075926,0.233167,0.659479,0.1,0.332051,0.799837,0.074074,0.472759,0.817924,0.075926,0.233167,0.659479,0.1,0.332051,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0.960868,0.068306,0.914689,0.998014,0.035519,0.955509,0.786872,0.497268,0.339717,0.982738,0.065574,0.917895,0.982738,0.065574,0.917895,0.982738,0.065574,0.917895,0.969618,0.065574,0.917568,0.975215,0.101093,0.871715,0.948439,0.101093,0.873556,0.969618,0.065574,0.917568,0.975215,0.101093,0.871715,0.948439,0.101093,0.873556,0.969618,0.065574,0.917568,0.975215,0.101093,0.871715,0.948439,0.101093,0.873556,97.029703,96.237624,0,97.821782,96.237624,0,96.831683,96.237624,0,93.663366,93.267327,85.742574,88.514851,51.485149,94.653465,31.683168,51.485149,93.861386,96.435644,97.029703,89.108911,90.693069
0.755952,0.099174,0.279762,0.684212,0.247934,0.109421,0.59623,0.090909,-0.027799,0.487103,0.090909,-0.027799,0.487103,0.090909,-0.027799,0.487103,0.090909,-0.027799,0.458829,0.090909,-0.027799,0.513889,0.090909,-0.027799,0.477679,0.115702,-0.05611,0.458829,0.090909,-0.027799,0.513889,0.090909,-0.027799,0.477679,0.115702,-0.05611,0.458829,0.090909,-0.027799,0.513889,0.090909,-0.027799,0.477679,0.115702,-0.05611,96.969697,85.454545,89.69697,89.69697,90.909091,95.757576,96.969697,96.969697,96.969697,93.333333,91.515152,96.969697,93.939394,94.545455,92.121212,96.969697,92.121212,93.333333,96.969697,95.151515,92.727273,96.363636
0.629545,0.190476,0.140909,0.614466,0.15873,0.353183,0.569318,0.111111,0.403248,0.584091,0.126984,0.157191,0.584091,0.126984,0.157191,0.584091,0.126984,0.157191,0.584091,0.126984,0.157191,0.477273,0.15873,-0.053512,0.463636,0.190476,-0.092486,0.584091,0.126984,0.157191,0.477273,0.15873,-0.053512,0.463636,0.190476,-0.092486,0.584091,0.126984,0.157191,0.477273,0.15873,-0.053512,0.463636,0.190476,-0.092486,90,86.25,85,68.75,93.75,87.5,91.25,90,28.75,90,81.25,88.75,91.25,88.75,87.5,93.75,88.75,87.5,91.25,92.5,87.5,92.5
0.643403,0.309896,0.296032,0.808269,0.240885,0.458124,0.711119,0.272135,0.391059,0.718664,0.269531,0.381647,0.718664,0.269531,0.381647,0.718664,0.269531,0.381647,0.707437,0.276042,0.381774,0.762914,0.282552,0.351775,0.664448,0.307292,0.327196,0.707437,0.276042,0.381774,0.762914,0.282552,0.351775,0.664448,0.307292,0.327196,0.707437,0.276042,0.381774,0.762914,0.282552,0.351775,0.664448,0.307292,0.327196,76.140351,74.649123,58.947368,77.017544,74.385965,76.929825,76.666667,77.105263,65.877193,70.789474,69.824561,75.350877,75.701754,72.45614,74.298246,65.350877,73.245614,74.122807,77.105263,76.491228,67.894737,74.649123
0.600862,0.214953,0.182664,0.786352,0.149533,0.466999,0.689943,0.17757,0.379994,0.689943,0.17757,0.379994,0.689943,0.17757,0.379994,0.689943,0.17757,0.379994,0.697989,0.168224,0.400374,0.497126,0.186916,0,0.552299,0.28972,0.098886,0.697989,0.168224,0.400374,0.497126,0.186916,0,0.552299,0.28972,0.098886,0.697989,0.168224,0.400374,0.497126,0.186916,0,0.552299,0.28972,0.098886,80,86,86,76,84.666667,86.666667,86.666667,84.666667,30,79.333333,81.333333,83.333333,78.666667,82,87.333333,83.333333,80.666667,81.333333,86,87.333333,81.333333,82.666667
0.705357,0.25,0.362205,0.828869,0.166667,0.557377,0.723214,0.222222,0.409836,0.767857,0.222222,0.454545,0.767857,0.222222,0.454545,0.767857,0.222222,0.454545,0.767857,0.222222,0.409836,0.607143,0.25,0.164948,0.6875,0.277778,0.318182,0.767857,0.222222,0.409836,0.607143,0.25,0.164948,0.6875,0.277778,0.318182,0.767857,0.222222,0.409836,0.607143,0.25,0.164948,0.6875,0.277778,0.318182,82.5,85,82.5,82.5,82.5,90,87.5,85,47.5,80,82.5,90,87.5,92.5,90,87.5,87.5,87.5,85,85,77.5,82.5
0.884132,0.181548,0.748845,0.962896,0.169643,0.764772,0.776887,0.354167,0.448527,0.892164,0.205357,0.71111,0.892164,0.205357,0.71111,0.892164,0.205357,0.71111,0.88597,0.193452,0.729502,0.903507,0.241071,0.66094,0.841387,0.252976,0.655235,0.88597,0.193452,0.729502,0.903507,0.241071,0.66094,0.841387,0.252976,0.655235,0.88597,0.193452,0.729502,0.903507,0.241071,0.66094,0.841387,0.252976,0.655235,80.212766,83.829787,43.617021,83.829787,81.914894,0,85.957447,85.106383,0,80,79.787234,77.446809,81.276596,65.744681,81.489362,43.617021,66.595745,80,85.106383,83.404255,76.595745,79.574468
0.66202,0.195402,0.387733,0.814412,0.170498,0.409277,0.73074,0.197318,0.400829,0.7286,0.183908,0.339537,0.7286,0.183908,0.339537,0.7286,0.183908,0.339537,0.727902,0.183908,0.334131,0.77775,0.159004,0.407321,0.63691,0.193487,0.382805,0.727902,0.183908,0.334131,0.77775,0.159004,0.407321,0.63691,0.193487,0.382805,0.727902,0.183908,0.334131,0.77775,0.159004,0.407321,0.63691,0.193487,0.382805,80.649351,85.194805,82.727273,84.025974,84.805195,84.935065,82.987013,85.194805,24.935065,79.74026,78.311688,85.064935,82.467532,84.155844,81.688312,79.87013,80.25974,80.12987,85.194805,83.116883,81.168831,83.636364
0.82999,0.168269,0.661269,0.794236,0.326923,0.355744,0.647581,0.336538,0.313143,0.652224,0.370192,0.257694,0.652224,0.370192,0.257694,0.652224,0.370192,0.257694,0.704467,0.331731,0.334816,0.713801,0.288462,0.410487,0.696062,0.302885,0.391869,0.704467,0.331731,0.334816,0.713801,0.288462,0.410487,0.696062,0.302885,0.391869,0.704467,0.331731,0.334816,0.713801,0.288462,0.410487,0.696062,0.302885,0.391869,71.333333,67.333333,66.666667,72.666667,83,75.666667,76,70,66.666667,87,85.333333,66.666667,71,62,76,53.333333,70.333333,69.333333,74.333333,81,71.333333,69.666667
0.660853,0.19802,0.257899,0.699371,0.148515,0.272684,0.549225,0.158416,0.135829,0.557752,0.148515,0.085697,0.557752,0.148515,0.085697,0.557752,0.148515,0.085697,0.53062,0.227723,0.018589,0.483333,0.148515,0,0.56938,0.217822,0.13876,0.53062,0.227723,0.018589,0.483333,0.148515,0,0.56938,0.217822,0.13876,0.53062,0.227723,0.018589,0.483333,0.148515,0,0.56938,0.217822,0.13876,88.148148,87.407407,91.111111,73.333333,81.481481,91.111111,91.111111,86.666667,89.62963,81.481481,83.703704,88.148148,81.481481,84.444444,80.740741,88.888889,82.222222,85.925926,86.666667,85.925926,77.777778,83.703704
0.771161,0.327103,0.548401,0.715213,0.495327,0.323633,0.699785,0.565421,0.229437,0.775531,0.35514,0.500046,0.775531,0.35514,0.500046,0.775531,0.35514,0.500046,0.804528,0.35514,0.512616,0.78626,0.401869,0.426434,0.763894,0.350467,0.528274,0.804528,0.35514,0.512616,0.78626,0.401869,0.426434,0.763894,0.350467,0.528274,0.804528,0.35514,0.512616,0.78626,0.401869,0.426434,0.763894,0.350467,0.528274,68,49.090909,50.181818,59.636364,67.272727,0,60.727273,63.272727,0,66.545455,71.636364,65.818182,67.272727,55.636364,62.909091,38.181818,48.363636,61.818182,65.090909,77.454545,63.636364,64.727273
0.730653,0.111354,0.277781,0.82151,0.146288,0.282333,0.744438,0.093886,0,0.615438,0.098253,0.146866,0.615438,0.098253,0.146866,0.615438,0.098253,0.146866,0.639703,0.093886,0.311928,0.677333,0.091703,0.191289,0.551471,0.131004,0.119964,0.639703,0.093886,0.311928,0.677333,0.091703,0.191289,0.551471,0.131004,0.119964,0.639703,0.093886,0.311928,0.677333,0.091703,0.191289,0.551471,0.131004,0.119964,66.567164,85.820896,89.104478,90.746269,88.507463,92.089552,92.089552,91.791045,75.074627,88.656716,87.61194,91.19403,90.597015,91.19403,89.253731,91.791045,91.791045,90.746269,91.791045,91.044776,87.910448,91.492537
