@relation MetaDataOpenML

@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute ClassEntropy numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute DefaultAccuracy numeric
@attribute Dimensionality numeric
@attribute EquivalentNumberOfAtts numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxAttributeEntropy numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxMutualInformation numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanMutualInformation numeric
@attribute MeanNoiseToSignalRatio numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinAttributeEntropy numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinMutualInformation numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1AttributeEntropy numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1MutualInformation numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2AttributeEntropy numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2MutualInformation numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3AttributeEntropy numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3MutualInformation numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.GaussianProcesses numeric
@attribute weka.classifiers.functions.LinearRegression numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLinearRegression numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.M5Rules numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.M5P numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric
@attribute weka.classifiers.trees.REPTree numeric

@data
0.513784,?,?,?,0.5,0.48,0,0.5,0.48,0,0.5,0.48,0,0.998846,0.504332,0.4775,0.009542,0.52,0.02,?,0.5,0.48,0,0.5,0.48,0,0.5,0.48,0,52,208,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,35.966885,-18232.586139,?,?,-1,0.995769,11201.414069,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.48,192,0.49687,0.5,-0.007252,1,2,8,400,0,0,7,1,12.5,0,0,87.5,12.5,?,-1.208257,-0,?,-0.03493,1,?,-1.12136,0,?,0.034254,1,?,0.599659,0.941395,?,0.726425,1,0.477264,0.52,-0.040416,0.477264,0.52,-0.040416,0.477264,0.52,-0.040416,0.495393,0.5025,-0.009239,0.495393,0.5025,-0.009239,0.495393,0.5025,-0.009239,?,?,-1,0.508413,0.49,0.016854,52.136752,50.769231,52.136752,0,0,52.136752,47.179487,50.42735,51.623932,0,50.598291,52.136752,50.598291,50.598291,52.136752,51.452991,0,45.641026,52.136752,52.136752,50.769231,52.136752,50.598291,0,47.350427,48.888889,49.74359
0.496241,?,?,?,0.497499,0.4925,0,0.497499,0.4925,0,0.497499,0.4925,0,0.999838,0.483659,0.5,0.008846,0.5075,0.02,?,0.496712,0.4925,0.003188,0.496712,0.4925,0.003188,0.496712,0.4925,0.003188,50.75,203,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,35.900348,-18194.020529,?,?,-1,0.996438,11177.757771,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.4925,197,0.462729,0.54,-0.079919,1,2,8,400,0,0,7,1,12.5,0,0,87.5,12.5,?,-1.208176,-0,?,-0.034866,1,?,-1.11985,0,?,0.034625,1,?,0.604999,0.995705,?,0.726693,1,0.535733,0.4675,0.067657,0.535733,0.4675,0.067657,0.535733,0.4675,0.067657,0.497875,0.5025,-0.004247,0.497875,0.5025,-0.004247,0.497875,0.5025,-0.004247,?,?,-1,0.552737,0.4475,0.105403,50.42735,47.863248,50.598291,0,0,50.08547,49.230769,49.401709,48.888889,0,49.74359,49.57265,49.57265,49.57265,50.42735,52.991453,0,47.692308,51.794872,50.42735,51.623932,51.794872,51.282051,0,50.08547,52.307692,51.111111
0.513514,?,?,?,0.877233,0.142,0.70915,0.877233,0.142,0.70915,0.877233,0.142,0.70915,0.988149,0.73815,0.269,0.45937,0.564,0.011,?,0.859093,0.139,0.715369,0.859093,0.139,0.715369,0.859093,0.139,0.715369,56.4,564,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,35.788843,-18139.268736,?,?,-1,0.993376,11144.12323,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.436,436,0.746873,0.305,0.37545,1,2,11,1000,0,0,10,1,9.090909,0,0,90.909091,9.090909,?,-1.208218,-0,?,-0.034925,1,?,-1.121383,0,?,0.034091,1,?,0.60274,0.975627,?,0.726425,1,0.893918,0.156,0.683462,0.893918,0.156,0.683462,0.893918,0.156,0.683462,0.8157,0.18,0.633048,0.8157,0.18,0.633048,0.8157,0.18,0.633048,?,?,-1,0.669822,0.324,0.340176,86.666667,68.956229,0,0,0,66.531987,92.188552,66.936027,67.407407,0,67.609428,66.531987,70.03367,77.104377,86.531987,87.542088,0,75.959596,85.185185,56.565657,72.727273,88.148148,89.494949,0,90.707071,85.252525,86.127946
0.542169,?,?,?,0.766883,0.228,0.547475,0.72711,0.192,0.616368,0.812013,0.18,0.630784,0.989588,0.766883,0.228,0.547475,0.56,0.024,?,0.823669,0.156,0.684976,0.823669,0.156,0.684976,0.823669,0.156,0.684976,56,140,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,35.733567,-18112.016229,?,?,-1,0.991996,11127.381759,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.44,110,0.753247,0.196,0.608751,1,2,6,250,0,0,5,1,16.666667,0,0,83.333333,16.666667,?,-1.208239,-0,?,-0.034938,1,?,-1.12136,0,?,0.034018,1,?,0.59843,0.960929,?,0.724502,1,0.869318,0.168,0.655738,0.869318,0.168,0.655738,0.869318,0.168,0.655738,0.852273,0.148,0.701131,0.852273,0.148,0.701131,0.852273,0.148,0.701131,?,?,-1,0.797078,0.2,0.594156,81.09589,80.821918,0,0,0,69.041096,88.767123,74.520548,77.808219,0,75.890411,69.589041,78.356164,84.931507,77.534247,87.123288,0,78.082192,77.808219,56.164384,75.068493,81.643836,81.917808,0,88.767123,82.465753,81.643836
0.496496,?,?,?,0.788774,0.206,0.584932,0.774006,0.19,0.612978,0.884566,0.111,0.770998,0.979544,0.788774,0.206,0.584932,0.584,0.006,?,0.889942,0.108,0.775867,0.889942,0.108,0.775867,0.889942,0.108,0.775867,58.4,584,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,35.678725,-18084.845488,?,?,-1,0.990705,11110.690517,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.416,416,0.76926,0.18,0.634348,1,2,6,1000,0,0,5,1,16.666667,0,0,83.333333,16.666667,?,-1.208232,-0,?,-0.034934,1,?,-1.121336,0,?,0.033946,1,?,0.5968,0.941791,?,0.724437,1,0.898857,0.127,0.736711,0.898857,0.127,0.736711,0.898857,0.127,0.736711,0.893836,0.103,0.787944,0.893836,0.103,0.787944,0.893836,0.103,0.787944,?,?,-1,0.879413,0.115,0.762251,89.158249,84.242424,0,0,0,72.794613,95.488215,78.249158,79.6633,0,80.538721,75.959596,89.62963,91.313131,89.427609,90.909091,0,81.548822,89.494949,58.585859,81.683502,90.841751,92.255892,0,94.612795,89.56229,89.158249
0.495495,?,?,?,0.899405,0.131,0.729428,0.899405,0.131,0.729428,0.899405,0.131,0.729428,0.981454,0.780608,0.218,0.553425,0.58,0.011,?,0.863251,0.125,0.74165,0.863251,0.125,0.74165,0.863251,0.125,0.74165,58,580,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,35.569005,-18030.747835,?,?,-1,0.988028,11077.457821,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.42,420,0.743826,0.205,0.576306,1,2,11,1000,0,0,10,1,9.090909,0,0,90.909091,9.090909,?,-1.208218,-0,?,-0.034943,1,?,-1.121621,0,?,0.033946,1,?,0.595069,0.9224,?,0.724354,1,0.873235,0.122,0.746425,0.873235,0.122,0.746425,0.873235,0.122,0.746425,0.811043,0.183,0.623519,0.811043,0.183,0.623519,0.811043,0.183,0.623519,?,?,-1,0.740681,0.257,0.477132,84.09396,79.865772,0,0,0,71.946309,90.604027,75.302013,77.583893,0,75.771812,70.738255,74.832215,76.778523,85.503356,87.248322,0,75.771812,84.832215,58.053691,77.516779,87.986577,89.66443,0,91.744966,84.161074,86.979866
0.834,?,?,?,0.689208,0.162419,0.462653,0.689208,0.162419,0.462653,0.689208,0.162419,0.462653,0.7965,0.767916,0.24088,0,0.75912,0.001499,?,0.689208,0.162419,0.462653,0.689208,0.162419,0.462653,0.689208,0.162419,0.462653,75.912044,1519,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,35.563426,-18025.355238,?,?,-1,0.986861,11074.145236,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.24088,482,0.856313,0.161919,0.486735,1,2,3,2001,0,0,2,1,33.333333,0,0,66.666667,33.333333,?,-1.208197,-0,?,-0.035013,1,?,-1.121502,0,?,0.033883,1,?,0.595072,0.93357,?,0.723802,1,0.813514,0.169915,0.476015,0.813514,0.169915,0.476015,0.813514,0.169915,0.476015,0.868727,0.176412,0.447598,0.868727,0.176412,0.447598,0.868727,0.176412,0.447598,?,?,-1,0.868606,0.176412,0.447598,87.872697,84.355109,76.046901,0,0,93.835846,97.118928,93.835846,90.351759,0,93.735343,76.046901,98.827471,93.500838,88.844221,98.324958,0,82.144054,98.525963,76.046901,76.046901,98.525963,99.061977,0,98.961474,98.425461,97.889447
0.566879,?,?,?,0.506713,0.428571,0.012677,0.506713,0.428571,0.012677,0.506713,0.428571,0.012677,0.982474,0.513117,0.431746,-0.014253,0.577778,0.044444,136.312668,0.553458,0.438095,0.091042,0.553458,0.438095,0.091042,0.553458,0.438095,0.091042,57.777778,182,1.565718,?,?,11281.768225,26074559.210526,0.009993,3,103.694375,21111483.86778,1.185276,?,?,35.544259,-17969.997372,0.007208,163.450297,2.666667,0.992996,11042.060899,0.56651,?,?,-1.999762,-91638847.147731,0.002629,2,-75.962778,0,0.422222,133,0.530654,0.501587,0.01387,2,2,14,315,0,0,10,4,14.285714,0,0,71.428571,28.571429,0.56651,-1.207992,-0,0.002629,-0.034894,1,1.423601,-1.119672,0,0.009001,0.034599,1,1.565718,0.604855,0.997167,0.009993,0.726559,1,0.588449,0.419048,0.057143,0.588449,0.419048,0.057143,0.588449,0.419048,0.057143,0.517021,0.466667,0.032753,0.517021,0.466667,0.032753,0.517021,0.466667,0.032753,?,?,0.57735,0.535281,0.444444,0.089069,58.461538,46.813187,0,0,0,60.43956,52.967033,58.681319,57.802198,0,58.901099,58.461538,53.626374,52.527473,56.703297,58.901099,0,55.604396,52.307692,58.241758,58.241758,52.527473,58.901099,0,57.362637,50.769231,55.824176
0.515152,?,?,?,0.806818,0.21,0.581006,0.806818,0.21,0.581006,0.806818,0.21,0.581006,0.989588,0.644075,0.36,0.286846,0.56,0.06,?,0.666599,0.31,0.363188,0.666599,0.31,0.363188,0.666599,0.31,0.363188,56,56,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,35.490814,-17943.248343,?,?,-1,0.992002,11025.625857,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.44,44,0.709416,0.37,0.254633,1,2,6,100,0,0,5,1,16.666667,0,0,83.333333,16.666667,?,-1.207991,-0,?,-0.034925,1,?,-1.119495,0,?,0.034573,1,?,0.60471,0.995,?,0.72696,1,0.73336,0.31,0.384432,0.73336,0.31,0.384432,0.73336,0.31,0.384432,0.715097,0.27,0.439834,0.715097,0.27,0.439834,0.715097,0.27,0.439834,?,?,-1,0.728896,0.26,0.46458,66.666667,73.333333,0,0,0,68.888889,85.185185,68.888889,68.148148,0,66.666667,65.185185,78.518519,77.777778,64.444444,73.333333,0,73.333333,75.555556,55.555556,57.777778,77.777778,72.592593,0,80.740741,80.740741,74.814815
0.508509,?,?,?,0.90756,0.137,0.724734,0.90756,0.137,0.724734,0.90756,0.137,0.724734,0.993886,0.682682,0.308,0.378972,0.546,0.026,?,0.87127,0.139,0.71874,0.87127,0.139,0.71874,0.87127,0.139,0.71874,54.6,546,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,35.219899,-17810.688885,?,?,-1,0.984719,10944.179153,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.454,454,0.706911,0.343,0.307502,1,2,26,1000,0,0,25,1,3.846154,0,0,96.153846,3.846154,?,-1.207991,-0,?,-0.034875,1,?,-1.12302,0,?,0.033707,1,?,0.595072,0.93357,?,0.724416,1,0.875,0.172,0.649552,0.875,0.172,0.649552,0.875,0.172,0.649552,0.761949,0.233,0.527126,0.761949,0.233,0.527126,0.761949,0.233,0.527126,?,?,-1,0.569621,0.426,0.13945,82.491582,64.511785,0,0,0,64.713805,66.464646,65.454545,65.656566,0,64.511785,63.771044,58.047138,63.771044,84.107744,84.242424,0,74.410774,83.905724,54.545455,68.013468,83.838384,85.252525,0,88.013468,75.488215,83.771044
0.550201,?,?,?,0.785443,0.236,0.520325,0.785443,0.236,0.520325,0.785443,0.236,0.520325,0.995378,0.709791,0.288,0.418041,0.54,0.204,?,0.741997,0.256,0.481361,0.741997,0.256,0.481361,0.741997,0.256,0.481361,54,135,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,34.691609,-17551.360275,?,?,-1,0.971292,10784.843406,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.46,115,0.642383,0.368,0.258304,1,2,51,250,0,0,50,1,1.960784,0,0,98.039216,1.960784,?,-1.208633,-0,?,-0.03493,1,?,-1.127249,0,?,0.031977,1,?,0.577163,0.832297,?,0.697629,1,0.73752,0.304,0.383317,0.73752,0.304,0.383317,0.73752,0.304,0.383317,0.582448,0.412,0.165857,0.582448,0.412,0.165857,0.582448,0.412,0.165857,?,?,-1,0.532367,0.464,0.064818,81.388889,60.833333,0,0,0,59.444444,55,59.722222,58.055556,0,56.944444,53.888889,53.611111,61.111111,78.333333,75.277778,0,76.666667,76.388889,54.166667,74.166667,75.277778,77.5,0,75.833333,67.777778,76.111111
0.974359,?,?,?,0.870927,0.125,0.747475,0.870927,0.125,0.747475,0.870927,0.125,0.747475,0.998196,0.865915,0.15,0.700748,0.525,0.075,?,0.870927,0.125,0.747475,0.870927,0.125,0.747475,0.870927,0.125,0.747475,52.5,21,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,34.681187,-17546.238133,?,?,-1,0.970998,10781.705656,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.475,19,0.962406,0.125,0.75,1,2,3,40,0,0,2,1,33.333333,0,0,66.666667,33.333333,?,-1.20859,-0,?,-0.034943,1,?,-1.127187,0,?,0.031869,1,?,0.576998,0.833965,?,0.697313,1,0.878446,0.125,0.746193,0.878446,0.125,0.746193,0.878446,0.125,0.746193,0.894737,0.1,0.797468,0.894737,0.1,0.797468,0.894737,0.1,0.797468,?,?,-1,0.894737,0.1,0.797468,95.555556,86.666667,91.111111,0,0,97.777778,95.555556,93.333333,88.888889,0,97.777778,73.333333,97.777778,95.555556,95.555556,95.555556,0,97.777778,97.777778,55.555556,95.555556,97.777778,97.777778,0,97.777778,97.777778,95.555556
0.517034,?,?,?,0.881166,0.126,0.735827,0.881166,0.126,0.735827,0.881166,0.126,0.735827,0.9765,0.778933,0.234,0.530648,0.59,0.102,?,0.855535,0.144,0.701468,0.855535,0.144,0.701468,0.855535,0.144,0.701468,59,295,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,34.166924,-17294.498705,?,?,-1,0.957455,10627.032691,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.41,205,0.782174,0.222,0.544185,1,2,51,500,0,0,50,1,1.960784,0,0,98.039216,1.960784,?,-1.209723,-0,?,-0.034989,1,?,-1.13025,0,?,0.031588,1,?,0.553977,0.817173,?,0.678968,1,0.870393,0.142,0.702281,0.870393,0.142,0.702281,0.870393,0.142,0.702281,0.693964,0.29,0.392899,0.693964,0.29,0.392899,0.693964,0.29,0.392899,?,?,-1,0.560107,0.426,0.120126,84.353741,76.190476,0,0,0,68.29932,73.197279,66.122449,68.571429,0,74.557823,65.170068,55.37415,65.578231,85.034014,84.217687,0,77.414966,80.272109,59.183673,75.510204,83.945578,85.986395,0,82.721088,65.578231,83.809524
0.946565,?,?,?,0.914055,0.068182,0.849085,0.914055,0.068182,0.849085,0.914055,0.068182,0.849085,0.932708,0.831143,0.121212,0.712731,0.651515,0.030303,3.851133,0.914055,0.068182,0.849085,0.914055,0.068182,0.849085,0.914055,0.068182,0.849085,65.151515,86,1.584963,?,?,11281.768225,26074559.210526,0.24219,3,103.694375,21111483.86778,1.584963,?,?,34.14751,-17284.548686,0.24219,5.544282,3,0.957348,10620.961874,1.584963,?,?,-1.999762,-91638847.147731,0.24219,3,-75.962778,0,0.348485,46,0.965875,0.068182,0.847536,1,2,4,132,0,0,2,2,25,0,0,50,50,1.584963,-1.20974,-0,0.24219,-0.034943,1,1.584963,-1.13025,0,0.24219,0.031588,1,1.584963,0.5555,0.818734,0.24219,0.68121,1,0.867796,0.090909,0.789137,0.867796,0.090909,0.789137,0.867796,0.090909,0.789137,0.933266,0.060606,0.866532,0.933266,0.060606,0.866532,0.933266,0.060606,0.866532,?,?,0,0.977629,0.022727,0.950201,87.777778,92.222222,0,0,0,93.888889,98.333333,97.777778,98.333333,0,93.888889,90,98.333333,98.333333,90,90,0,87.222222,93.888889,66.666667,87.222222,93.888889,94.444444,0,96.666667,95.555556,90.555556
0.59596,?,?,?,0.868432,0.15,0.691104,0.868432,0.15,0.691104,0.868432,0.15,0.691104,0.981454,0.848317,0.15,0.693126,0.58,0.51,?,0.860427,0.16,0.671593,0.860427,0.16,0.671593,0.860427,0.16,0.671593,58,58,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,33.648245,-17040.209576,?,?,-1,0.943708,10470.835187,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.42,42,0.770525,0.27,0.440299,1,2,51,100,0,0,50,1,1.960784,0,0,98.039216,1.960784,?,-1.210823,-0,?,-0.036319,1,?,-1.13205,0,?,0.030706,1,?,0.538567,0.725784,?,0.667308,1,0.835591,0.18,0.623116,0.835591,0.18,0.623116,0.835591,0.18,0.623116,0.79803,0.2,0.59217,0.79803,0.2,0.59217,0.79803,0.2,0.59217,?,?,-1,0.559113,0.42,0.120603,84.444444,70.37037,0,0,0,62.222222,65.185185,64.444444,65.925926,0,86.666667,60,54.814815,62.962963,91.111111,86.666667,0,85.925926,82.962963,59.259259,84.444444,84.444444,85.185185,0,79.259259,66.666667,81.481481
0.999421,?,?,?,0.891586,0.116885,0.769307,1,0.054045,0.88961,0.999955,0.000116,0.999766,0.992759,0.891586,0.116885,0.769307,0.550052,0.000579,3.915213,0.999871,0.000116,0.999766,0.999871,0.000116,0.999766,0.999871,0.000116,0.999766,55.005208,4753,0.797755,?,?,11281.768225,26074559.210526,0.253565,2,103.694375,21111483.86778,0.797755,?,?,33.619061,-17025.753591,0.253565,2.14616,2,0.943126,10461.97017,0.797755,?,?,-1.999762,-91638847.147731,0.253565,2,-75.962778,0,0.449948,3888,0.999679,0.053235,0.891283,2,2,5,8641,0,0,3,2,40,0,0,60,40,0.797755,-1.210832,-0,0.253565,-0.036222,1,0.797755,-1.131942,0,0.253565,0.030723,1,0.797755,0.537086,0.735746,0.253565,0.667203,1,0.999949,0.000116,0.999766,0.999949,0.000116,0.999766,0.999949,0.000116,0.999766,0.999895,0.000116,0.999766,0.999895,0.000116,0.999766,0.999895,0.000116,0.999766,?,?,0,0.997189,0.002662,0.994622,99.497876,94.438007,0,0,0,100,100,99.760525,98.957126,0,99.853225,81.344148,99.89185,99.366551,99.868675,99.961375,0,95.125531,99.98455,55.001931,88.420239,99.98455,99.98455,0,100,99.992275,100
0.868217,?,?,?,0.892899,0.107692,0.784615,0.892899,0.107692,0.784615,0.892899,0.107692,0.784615,1,0.881302,0.115385,0.769231,0.5,0.030769,?,0.892899,0.107692,0.784615,0.892899,0.107692,0.784615,0.892899,0.107692,0.784615,50,65,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,33.609208,-17020.945233,?,?,-1,0.942762,10459.015722,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.5,65,0.961893,0.123077,0.753846,1,2,4,130,0,0,2,2,25,0,0,50,50,?,-1.21098,-0,?,-0.036319,1,?,-1.13205,0,?,0.030706,1,?,0.536985,0.735643,?,0.667098,1,0.898107,0.153846,0.692308,0.898107,0.153846,0.692308,0.898107,0.153846,0.692308,0.860473,0.138462,0.723077,0.860473,0.138462,0.723077,0.860473,0.138462,0.723077,?,?,-1,0.866864,0.138462,0.723077,81.666667,88.333333,0,0,0,88.333333,87.777778,88.333333,88.888889,0,88.888889,50,84.444444,84.444444,81.666667,84.444444,0,50,80.555556,50,81.666667,80,88.888889,0,86.111111,64.444444,50
0.92236,?,?,?,0.95834,0.068111,0.862819,0.95834,0.068111,0.862819,0.95834,0.068111,0.862819,0.994954,0.885579,0.167183,0.665028,0.541796,0.01548,?,0.937954,0.065015,0.869122,0.937954,0.065015,0.869122,0.937954,0.065015,0.869122,54.179567,175,?,?,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,?,?,33.570579,-17001.716737,?,?,-1,0.941529,10447.242235,?,?,?,-1.999762,-91638847.147731,?,-1,-75.962778,0,0.458204,148,0.978224,0.086687,0.824674,1,2,5,323,0,0,4,1,20,0,0,80,20,?,-1.210823,-0,?,-0.036319,1,?,-1.131785,0,?,0.030468,1,?,0.536359,0.737196,?,0.666162,1,0.947297,0.06192,0.875549,0.947297,0.06192,0.875549,0.947297,0.06192,0.875549,0.918938,0.080495,0.837876,0.918938,0.080495,0.837876,0.918938,0.080495,0.837876,?,?,-1,0.929884,0.065015,0.869122,93.191489,93.404255,0,0,0,95.106383,94.255319,96.595745,93.404255,0,95.957447,94.255319,93.617021,95.106383,93.404255,92.765957,0,83.404255,92.340426,54.255319,82.553191,93.191489,95.957447,0,92.553191,90.851064,91.914894
