REPTreeDepth3, 2 folds;J48.0001., 2 folds;DefaultAccuracy;NominalAttDistinctValues;RandomTreeDepth1, 2 folds;Cardinality;RandomTreeDepth3, 2 folds;CfsSubsetEval_NaiveBayes, 2 folds;J48.001., 2 folds;J48.00001., 2 folds;DecisionStump, 2 folds;SimpleMetaFeatures;RandomTreeDepth2, 2 folds;NaiveBayes, 2 folds;CfsSubsetEval_DecisionStump, 2 folds;CfsSubsetEval_kNN1N, 2 folds;REPTreeDepth1, 2 folds;Statistical;kNN1N, 2 folds;REPTreeDepth2, 2 folds;;
0;4;0;0;15;0;0;31;0;0;0;0;1;0;16;16;0;0;15;2;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;16;32;0;0;0;0;;
17;0;0;0;0;1;1;16;0;0;0;0;0;0;15;31;16;2;1;0;;
2;0;0;0;0;0;0;32;0;1;0;0;3;0;15;15;0;0;16;16;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;31;16;0;0;0;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;32;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;16;0;0;0;0;15;23;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;16;0;0;0;15;;
0;15;0;0;0;0;0;16;7;16;0;0;0;0;31;31;0;15;38;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;15;0;0;0;0;;
0;0;0;0;0;0;0;32;0;0;0;0;0;0;15;15;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;16;0;0;1;0;;
0;0;0;0;0;0;0;27;0;0;0;0;0;0;15;16;0;0;0;0;;
0;0;0;0;0;0;0;31;0;0;0;0;0;0;22;16;0;0;0;0;;
0;3;0;0;1;0;0;15;17;0;0;0;0;15;16;16;1;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;16;0;0;31;15;15;0;0;0;2;38;32;0;0;20;16;;
1;1;0;0;1;0;1;26;0;1;0;0;1;0;27;39;1;0;0;1;;
1;0;0;0;0;0;0;23;0;0;0;0;0;0;26;28;1;0;1;1;;
0;1;1;0;0;0;1;29;1;0;1;0;1;0;35;27;0;0;1;0;;
3;4;0;0;3;1;3;32;4;6;3;0;2;8;32;34;3;1;24;3;;
1;4;1;0;2;0;2;29;3;4;2;0;2;3;30;42;2;3;9;2;;
4;6;0;0;2;1;2;29;6;7;2;0;2;6;20;29;4;1;13;4;;
4;2;0;0;5;1;5;26;2;2;2;0;5;3;26;22;4;1;27;4;;
1;1;0;0;1;1;0;26;1;2;1;0;1;2;27;22;1;0;4;1;;
44;52;1;0;9;10;30;39;49;64;16;1;17;36;37;49;21;20;457;32;;
2;3;0;0;2;0;1;22;3;3;1;0;2;3;18;26;2;1;10;1;;
0;16;0;0;0;0;0;38;0;0;0;0;15;15;31;16;0;0;47;0;;
0;0;0;0;0;0;0;31;0;0;0;0;0;0;16;16;0;0;0;0;;
16;0;0;0;0;0;0;16;0;0;1;0;0;1;15;17;0;0;19;0;;
0;0;0;0;0;0;0;15;0;0;0;0;0;0;32;22;0;0;0;0;;
4;16;0;0;15;0;0;15;16;18;0;0;16;16;38;31;0;0;138;0;;
